# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
1.000000 0.055600 0.085700 0.107300 0.232000 0.306700 0.241600 0.147000 0.199900 0.222700 2.561277 2.192680 5.004028 0.375222 0.681844 -0.560116 385.352356 0.067200 0.096200 0.135000 0.216600 0.354200 0.306900 0.163300 0.185100 0.201100 3.168330 2.857185 7.130102 0.229285 0.371681 -0.570328 237.709290 4.750731
1.000000 0.045950 0.082400 0.111450 0.264950 0.271300 0.202400 0.155250 0.226650 0.254600 2.899937 2.523573 6.493422 0.404192 0.744115 -0.533871 440.122986 0.058100 0.089100 0.142600 0.221900 0.317950 0.262600 0.166950 0.189150 0.207450 3.210870 2.851178 7.020691 0.220421 0.325055 -0.560662 251.767578 5.270463
1.000000 0.043050 0.077000 0.080650 0.284150 0.310700 0.226800 0.139500 0.245450 0.276650 2.844369 2.442244 6.481169 0.544085 1.112567 -0.592178 378.098297 0.059850 0.090250 0.129900 0.223350 0.398900 0.345900 0.157600 0.187400 0.208050 2.859096 2.315293 6.700782 0.255438 0.408737 -0.631056 228.997101 2.062395
1.000000 0.066100 0.104950 0.141550 0.275250 0.297750 0.209600 0.191850 0.248900 0.272550 2.784044 2.315921 5.728540 0.314630 0.607729 -0.468235 381.872620 0.083250 0.123950 0.180850 0.257300 0.347300 0.273800 0.215200 0.234600 0.249750 3.099120 2.650528 7.563389 0.170328 0.277742 -0.464315 231.759827 2.946278
1.000000 0.062000 0.104150 0.109500 0.306000 0.289350 0.213600 0.175100 0.267700 0.296100 2.330815 1.826733 4.555459 0.471905 1.071100 -0.472340 347.187378 0.086200 0.126450 0.165900 0.262900 0.400000 0.339150 0.199200 0.230050 0.249750 3.006463 2.576724 7.080617 0.227122 0.426264 -0.519673 169.156525 2.946278
1.000000 0.036550 0.061800 0.074200 0.180400 0.154000 0.100700 0.112650 0.161400 0.181550 2.240902 2.314021 4.961027 0.416913 0.601046 -0.425431 742.765503 0.055900 0.088150 0.115700 0.220600 0.298450 0.215150 0.153850 0.196150 0.213750 2.199231 1.920265 6.474229 0.307084 0.500657 -0.542825 441.222656 10.933972
0.000000 0.050300 0.082300 0.084000 0.265900 0.262000 0.153400 0.136100 0.225000 0.249800 2.925865 2.639500 6.594197 0.520559 1.069013 -0.504363 751.684937 0.072600 0.097300 0.123900 0.233400 0.329700 0.217900 0.160400 0.199400 0.219000 3.185255 2.849793 7.003223 0.297966 0.556308 -0.539284 446.975159 33.354160
0.000000 0.034800 0.059600 0.060400 0.266900 0.229800 0.137200 0.111800 0.224800 0.263600 2.625249 2.346267 6.644950 0.630231 1.243620 -0.586616 354.578644 0.048100 0.069900 0.089800 0.211400 0.279100 0.192900 0.129700 0.179500 0.201500 2.835622 2.612705 5.926933 0.401254 0.660757 -0.592128 174.694382 1.863390
1.000000 0.080200 0.113100 0.137400 0.292050 0.340000 0.230800 0.187150 0.254550 0.283700 2.695028 2.071768 5.661278 0.358633 0.796088 -0.501233 344.816162 0.101200 0.131500 0.169450 0.250750 0.402600 0.329650 0.198600 0.221450 0.239350 2.709745 2.199809 7.139042 0.194274 0.358297 -0.509357 166.861267 3.773077
0.000000 0.066550 0.109000 0.201850 0.314200 0.424700 0.327050 0.249650 0.293400 0.315250 3.363819 2.702396 7.772705 0.218124 0.380581 -0.593341 382.697601 0.072000 0.112400 0.215150 0.308950 0.458650 0.363800 0.256250 0.284850 0.301300 3.356038 2.662135 7.721984 0.178470 0.290338 -0.605785 191.949585 1.863390
1.000000 0.059050 0.100500 0.157400 0.283350 0.347300 0.258800 0.208750 0.259850 0.282500 2.721859 2.244258 5.935243 0.283924 0.505428 -0.547344 381.040955 0.067000 0.106200 0.181350 0.265500 0.382200 0.303700 0.217700 0.243350 0.258350 3.211734 2.756737 8.034925 0.187484 0.283604 -0.562601 230.995911 5.590170
0.000000 0.069900 0.116500 0.174550 0.278550 0.359200 0.265400 0.224950 0.265650 0.282850 3.162372 2.623279 7.457863 0.226001 0.398161 -0.513927 385.535828 0.075000 0.120950 0.193550 0.268400 0.379250 0.294800 0.231200 0.253100 0.264750 3.196487 2.685315 7.844769 0.159513 0.235036 -0.519741 237.077896 5.803495
0.000000 0.051500 0.087050 0.159600 0.284000 0.409950 0.321750 0.207700 0.255950 0.278900 3.125087 2.607901 6.960207 0.278495 0.484040 -0.652463 370.747009 0.057100 0.090200 0.173350 0.268550 0.449200 0.364100 0.211300 0.240300 0.258350 3.350586 2.778217 7.373325 0.217681 0.344034 -0.665577 190.946259 1.590503
1.000000 0.073850 0.099950 0.128850 0.238950 0.329500 0.236300 0.164000 0.203800 0.228700 2.610770 2.226675 5.033710 0.300177 0.559801 -0.535129 345.358673 0.123750 0.156600 0.195350 0.267800 0.430450 0.370850 0.222350 0.237000 0.254300 2.797019 2.307775 7.680038 0.153180 0.316965 -0.465068 167.305847 2.429563
1.000000 0.102600 0.137350 0.165850 0.274150 0.395750 0.308900 0.204050 0.245650 0.267400 3.359471 2.764499 6.683880 0.242952 0.527586 -0.482901 335.675293 0.117300 0.152400 0.191950 0.277050 0.438150 0.359900 0.221450 0.243550 0.262600 3.122019 2.615815 8.023445 0.181183 0.381757 -0.480241 159.069748 6.066758
1.000000 0.103350 0.142500 0.164500 0.323950 0.410550 0.291150 0.211550 0.274000 0.304350 3.039595 2.388669 6.744807 0.324553 0.819426 -0.483477 336.624023 0.117550 0.151650 0.181300 0.296750 0.445850 0.340800 0.213850 0.246550 0.268450 2.974161 2.468719 7.949633 0.240221 0.567725 -0.492120 156.370895 7.095578
