# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
1.000000 0.091600 0.119400 0.156200 0.244300 0.392000 0.315100 0.190700 0.213600 0.234400 3.248730 2.842850 7.095831 0.211538 0.400150 -0.529789 401.342804 0.058600 0.084600 0.091700 0.242300 0.277800 0.188100 0.140500 0.206500 0.232500 2.884735 2.685088 5.210897 0.449955 0.883844 -0.526056 761.564148 0.833333
1.000000 0.089200 0.110300 0.130250 0.214800 0.353300 0.297100 0.158450 0.189550 0.208050 2.822972 2.534724 6.176674 0.243326 0.455205 -0.523848 447.675873 0.057750 0.077550 0.074500 0.215850 0.239500 0.172800 0.116850 0.186950 0.209700 2.222696 1.991282 3.808813 0.491373 0.935573 -0.510489 712.228333 3.726780
1.000000 0.086300 0.105450 0.126950 0.199300 0.347250 0.303950 0.151600 0.175750 0.193300 3.005749 2.749178 6.158934 0.223454 0.384895 -0.534631 449.627960 0.057000 0.077700 0.082850 0.204250 0.274350 0.204200 0.119850 0.172850 0.192650 2.800944 2.555083 4.622762 0.423310 0.742635 -0.558879 712.370605 8.759915
1.000000 0.085250 0.104500 0.122600 0.210750 0.298100 0.225300 0.150500 0.184800 0.203300 2.586522 2.497623 6.047299 0.263316 0.488629 -0.480786 447.416138 0.046800 0.066650 0.055850 0.226150 0.176400 0.102500 0.101900 0.192250 0.217000 2.558702 2.404399 5.212073 0.611727 1.162435 -0.457602 712.941772 3.435921
1.000000 0.108700 0.141500 0.184400 0.278850 0.407100 0.328000 0.220950 0.249700 0.272300 3.432590 2.899026 7.588567 0.209459 0.441926 -0.482600 399.864380 0.061950 0.085750 0.097600 0.258650 0.292650 0.197750 0.145150 0.215100 0.242150 3.480404 3.152098 6.502163 0.449616 0.937814 -0.547265 757.983032 3.336529
1.000000 0.092300 0.116200 0.146900 0.231100 0.356800 0.275100 0.176400 0.201900 0.221400 3.291866 2.734030 6.547009 0.218642 0.407465 -0.509983 442.471039 0.055600 0.079100 0.087000 0.214200 0.284700 0.200900 0.130100 0.180700 0.200700 3.226226 3.034309 6.292047 0.422986 0.749634 -0.563706 760.665222 7.927624
1.000000 0.086650 0.111050 0.139550 0.239250 0.333550 0.261850 0.174500 0.210700 0.235500 3.244115 2.848490 7.150482 0.268188 0.523904 -0.500699 391.748230 0.062600 0.085300 0.106650 0.217850 0.291100 0.218000 0.138750 0.181600 0.204400 3.596283 3.288090 7.276176 0.343208 0.629680 -0.553304 737.298340 2.357023
1.000000 0.079700 0.104150 0.139200 0.244100 0.339000 0.239650 0.174500 0.202850 0.227650 3.292651 2.951789 6.655004 0.271055 0.515560 -0.530726 395.541382 0.049050 0.070300 0.077550 0.220600 0.238750 0.150550 0.119950 0.180450 0.206500 2.994696 2.819273 5.112250 0.483859 0.884396 -0.541293 754.597351 4.602234
1.000000 0.100400 0.133600 0.179900 0.286500 0.402600 0.304000 0.217800 0.250000 0.277000 3.802426 3.193223 7.927925 0.226834 0.472533 -0.500866 400.398071 0.056000 0.079400 0.082000 0.235000 0.272600 0.181500 0.126800 0.197000 0.221700 3.112618 2.879856 5.542168 0.479114 0.948895 -0.550358 760.736206 1.863390
1.000000 0.072450 0.091050 0.108750 0.195400 0.260650 0.198200 0.137400 0.170950 0.190650 3.068871 2.820303 6.811963 0.284990 0.482454 -0.482587 398.235901 0.043150 0.063650 0.054150 0.220550 0.185350 0.110600 0.097800 0.184800 0.211600 2.729675 2.673012 5.430530 0.598054 1.112878 -0.489533 749.821838 2.932742
