"T","X","Y","datasets","days"
"2019--P1Y", +0165, +0095,    2,    2
"2019--P1Y", +0165, +0096,    2,    2
"2019--P1Y", +0165, +0097,    2,    2
"2019--P1Y", +0165, +0098,    2,    2
"2019--P1Y", +0165, +0099,    2,    2
"2019--P1Y", +0165, +0100,    2,    2
"2019--P1Y", +0165, +0101,    2,    2
"2019--P1Y", +0165, +0102,    2,    2
"2019--P1Y", +0165, +0103,    2,    2
"2019--P1Y", +0165, +0104,    2,    2
"2019--P1Y", +0165, +0105,    2,    2
"2019--P1Y", +0165, +0106,    2,    2
"2019--P1Y", +0165, +0107,    2,    2
"2019--P1Y", +0165, +0108,    2,    2
"2019--P1Y", +0165, +0109,    2,    2
"2019--P1Y", +0165, +0110,    2,    2
"2019--P1Y", +0165, +0111,    2,    2
"2019--P1Y", +0165, +0112,    2,    2
"2019--P1Y", +0165, +0113,    2,    2
"2019--P1Y", +0165, +0114,    2,    2
"2019--P1Y", +0166, +0085,    2,    2
"2019--P1Y", +0166, +0086,    2,    2
"2019--P1Y", +0166, +0087,    2,    2
"2019--P1Y", +0166, +0088,    2,    2
"2019--P1Y", +0166, +0089,    2,    2
"2019--P1Y", +0166, +0090,    2,    2
"2019--P1Y", +0166, +0091,    2,    2
"2019--P1Y", +0166, +0092,    2,    2
"2019--P1Y", +0166, +0093,    2,    2
"2019--P1Y", +0166, +0094,    2,    2
"2019--P1Y", +0166, +0095,    2,    2
"2019--P1Y", +0166, +0096,    2,    2
"2019--P1Y", +0166, +0097,    2,    2
"2019--P1Y", +0166, +0098,    2,    2
"2019--P1Y", +0166, +0099,    2,    2
"2019--P1Y", +0166, +0100,    2,    2
"2019--P1Y", +0166, +0101,    2,    2
"2019--P1Y", +0166, +0102,    2,    2
"2019--P1Y", +0166, +0103,    2,    2
"2019--P1Y", +0166, +0104,    2,    2
"2019--P1Y", +0166, +0105,    2,    2
"2019--P1Y", +0166, +0106,    2,    2
"2019--P1Y", +0166, +0107,    2,    2
"2019--P1Y", +0166, +0108,    2,    2
"2019--P1Y", +0166, +0109,    2,    2
"2019--P1Y", +0166, +0110,    2,    2
"2019--P1Y", +0166, +0111,    2,    2
"2019--P1Y", +0166, +0112,    2,    2
"2019--P1Y", +0166, +0113,    2,    2
"2019--P1Y", +0166, +0114,    2,    2
"2019--P1Y", +0166, +0115,    2,    2
"2019--P1Y", +0167, +0084,    2,    2
"2019--P1Y", +0167, +0085,    2,    2
"2019--P1Y", +0167, +0086,    2,    2
"2019--P1Y", +0167, +0087,    2,    2
"2019--P1Y", +0167, +0088,    2,    2
"2019--P1Y", +0167, +0089,    2,    2
"2019--P1Y", +0167, +0090,    2,    2
"2019--P1Y", +0167, +0091,    2,    2
"2019--P1Y", +0167, +0092,    2,    2
"2019--P1Y", +0167, +0093,    2,    2
"2019--P1Y", +0167, +0094,    2,    2
"2019--P1Y", +0167, +0095,    2,    2
"2019--P1Y", +0167, +0096,    2,    2
"2019--P1Y", +0167, +0097,    2,    2
"2019--P1Y", +0167, +0098,    2,    2
"2019--P1Y", +0167, +0099,    2,    2
"2019--P1Y", +0167, +0100,    2,    2
"2019--P1Y", +0167, +0101,    2,    2
"2019--P1Y", +0167, +0102,    2,    2
"2019--P1Y", +0167, +0103,    2,    2
"2019--P1Y", +0167, +0104,    2,    2
"2019--P1Y", +0167, +0105,    2,    2
"2019--P1Y", +0167, +0106,    2,    2
"2019--P1Y", +0167, +0107,    2,    2
"2019--P1Y", +0167, +0108,    2,    2
"2019--P1Y", +0167, +0109,    2,    2
"2019--P1Y", +0167, +0110,    2,    2
"2019--P1Y", +0167, +0111,    2,    2
"2019--P1Y", +0167, +0112,    2,    2
"2019--P1Y", +0167, +0113,    2,    2
"2019--P1Y", +0167, +0114,    2,    2
"2019--P1Y", +0167, +0115,    2,    2
"2019--P1Y", +0168, +0083,    2,    2
